"","docPid","left_context","context","right_context","werkwoord","ge_prefix","persoon","zinstype","zinsdeelvolgorde","werkwoordsvolgorde","samengesteld_ww","modaal_hww","samentrekking","word","word_xml","starttag","punct","decennium","subgenre","auteur","datering","genre","titleWords","pid","titel","lokalisering","lokalisering_ruim","fictionalityLevel1"
"1","INT_c1b59bb4-9858-4fc7-8230-77901b694f49"," die noot, Doen sijn ors"," was bleven"," doot, Die baniere van Brabant","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","was bleven","was bleven",NA,NA,1440,"""history"" ""secular""","""Jan van Heelu""","""1430-1450""","""vers""","""Rijmkroniek van Woeringen""","""INT_c1b59bb4-9858-4fc7-8230-77901b694f49""","""Rijmkroniek van Woeringen""","Brabant","zuid","""non-fiction"""
"2","INT_cdc288b9-9eca-4d98-819f-2f0089b0673a"," die doe bi coninc Karel"," gebleven waren."," namen oerlof aen coninc Karel","blijven","ja","3pl","bijzin","SV","VD-PV","nee","nee","nee","gebleven waren.","gebleven waren.",NA,NA,1500,"""chapbook"" ""chivalric romance"" ""secular""","""unknown""","""1508-1508""","""proza""","""Historie vanden vier heemskinderen""","""INT_cdc288b9-9eca-4d98-819f-2f0089b0673a""","""Historie vanden vier heemskinderen""","Holland","noord","""fiction"""
"3","INT_60a08b65-4eb3-4d07-a0a0-bd2e053a1568"," voer sijn oghen Byden vader"," bleven waer",". Des viel Cortois al openbaer","blijven","nee","3sing","bijzin","SV","VD-PV","nee","nee","nee","bleven waer","bleven waer",NA,NA,1480,"""secular""","""Willem van Hildegaersberch""","""1470-1490""","""vers""","""Gedichten (Willem van Hildegaersberch)""","""INT_60a08b65-4eb3-4d07-a0a0-bd2e053a1568""","""Gedichten (Willem van Hildegaersberch)""","Holland","noord","""fiction"""
"4","INT_d7790fa5-6d65-492a-887b-8ca24f29344a"," dochteren ende alle dat volc"," bleven waren"," in Masphat, die Nabusardan, den","blijven","nee","3pl","bijzin","SV","VD-PV","nee","nee","nee","bleven waren","bleven waren",NA,NA,1440,"""biblical texts"" ""religious""","""Bijbelvertaler van 1360""","""1435-1455""","""proza""","""Bijbelvertaling van 1360, Oude Testament, Zuidnederlandse Historiebijbel, Eerste Historiebijbel""","""INT_d7790fa5-6d65-492a-887b-8ca24f29344a""","""Bijbelvertaling van 1360, Oude Testament, Zuidnederlandse Historiebijbel, Eerste Historiebijbel""","rest","onbekend","""non-fiction"""
"5","INT_1b88ac62-9a0f-4903-a184-95cc79f914b1"," sope daer af diere noch"," bleven waren",". Ende dan werpen der in","blijven","nee","3pl","bijzin","SV","VD-PV","nee","nee","nee","bleven waren","bleven waren",NA,NA,1350,"""artes"" ""medicine"" ""secular""","""unknown""","""1351-1351""","""proza""","""Liber Magistri Avicenne""","""INT_1b88ac62-9a0f-4903-a184-95cc79f914b1""","""Liber Magistri Avicenne""","Brabant","zuid","""non-fiction"""
"6","INT_60a08b65-4eb3-4d07-a0a0-bd2e053a1568"," deilen dan, Datter van hem"," is ghebleven",". Den wormen wortet vleysch ghegheven","blijven","ja","3sing","bijzin","SV","PV-VD","nee","nee","nee","is ghebleven","is ghebleven",NA,NA,1480,"""secular""","""Willem van Hildegaersberch""","""1470-1490""","""vers""","""Gedichten (Willem van Hildegaersberch)""","""INT_60a08b65-4eb3-4d07-a0a0-bd2e053a1568""","""Gedichten (Willem van Hildegaersberch)""","Holland","noord","""fiction"""
"7","INT_76ec5f39-8c20-4a33-93d2-6e9c0ff64185"," geven, No dat hi staende"," ware bleven","; Maer hem gebrac van groter","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","ware bleven","ware bleven",NA,NA,1320,"""chivalric romance"" ""epic"" ""secular""","""unknown""","""1300-1350""","""vers""","""Arturs doet""","""INT_76ec5f39-8c20-4a33-93d2-6e9c0ff64185""","""Arturs doet""","Vlaanderen","zuid","""fiction"""
"8","INT_2fee8d61-b94e-4384-a704-5035c0e3cfd0"," Van Dares, daert ons af"," is bleven",". Daerom waen ic dat hyt","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","is bleven","is bleven",NA,NA,1470,"""epic"" ""secular""","""Jacob van Maerlant""","""1465-1485""","""vers""","""Historie van Troyen""","""INT_2fee8d61-b94e-4384-a704-5035c0e3cfd0""","""Historie van Troyen""","Limburg/Nederrijn","onbekend","""fiction"""
"9","INT_2fee8d61-b94e-4384-a704-5035c0e3cfd0"," neven Laet ligghen, die aldaer"," is bleven",". Hoe mach enich man sceiden","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","is bleven","is bleven",NA,NA,1470,"""epic"" ""secular""","""Jacob van Maerlant""","""1465-1485""","""vers""","""Historie van Troyen""","""INT_2fee8d61-b94e-4384-a704-5035c0e3cfd0""","""Historie van Troyen""","Limburg/Nederrijn","onbekend","""fiction"""
"10","INT_d7790fa5-6d65-492a-887b-8ca24f29344a"," sel ic vanden anderen, datter"," gebleven is",", een beelde maken? sel ic","blijven","ja","3sing","bijzin","SV","VD-PV","nee","nee","nee","gebleven is","gebleven is",NA,NA,1440,"""biblical texts"" ""religious""","""Bijbelvertaler van 1360""","""1435-1455""","""proza""","""Bijbelvertaling van 1360, Oude Testament, Zuidnederlandse Historiebijbel, Eerste Historiebijbel""","""INT_d7790fa5-6d65-492a-887b-8ca24f29344a""","""Bijbelvertaling van 1360, Oude Testament, Zuidnederlandse Historiebijbel, Eerste Historiebijbel""","rest","onbekend","""non-fiction"""
